Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,14.04.2018 11:00 - 14.04.2018 11:30 (CET),1446,0,0,17805,1516,0,0,0,0,301,488,0,0,6594,130,0,4170,0,171,944
BZN|GB,14.04.2018 11:30 - 14.04.2018 12:00 (CET),1441,0,0,17251,1421,0,0,0,0,306,250,0,0,6743,130,0,4850,0,187,963
BZN|GB,14.04.2018 12:00 - 14.04.2018 12:30 (CET),1448,0,0,16838,1077,0,0,0,0,304,501,0,0,6790,130,0,5470,0,191,1121
BZN|GB,14.04.2018 12:30 - 14.04.2018 13:00 (CET),1233,0,0,16496,974,0,0,0,0,331,501,0,0,6790,130,0,5800,0,197,1280
BZN|GB,14.04.2018 13:00 - 14.04.2018 13:30 (CET),1200,0,0,15549,1072,0,0,0,0,323,220,0,0,6806,130,0,6220,0,210,1393
BZN|GB,14.04.2018 13:30 - 14.04.2018 14:00 (CET),1208,0,0,14936,957,0,0,0,0,330,481,0,0,6800,130,0,6680,0,219,1441
BZN|GB,14.04.2018 14:00 - 14.04.2018 14:30 (CET),1212,0,0,14110,944,0,0,0,0,401,411,0,0,6812,130,0,6930,0,281,1497
BZN|GB,14.04.2018 14:30 - 14.04.2018 15:00 (CET),907,0,0,13412,947,0,0,0,0,314,330,0,0,6803,130,0,7050,0,262,1504
BZN|GB,14.04.2018 15:00 - 14.04.2018 15:30 (CET),758,0,0,12800,946,0,0,0,0,396,331,0,0,6803,129,0,7294,0,236,1605
BZN|GB,14.04.2018 15:30 - 14.04.2018 16:00 (CET),758,0,0,12480,944,0,0,0,0,301,329,0,0,6805,129,0,6730,0,184,1633
BZN|GB,14.04.2018 16:00 - 14.04.2018 16:30 (CET),761,0,0,12147,920,0,0,0,0,300,329,0,0,6800,130,0,6200,0,202,1730
BZN|GB,14.04.2018 16:30 - 14.04.2018 17:00 (CET),759,0,0,12486,715,0,0,0,0,367,330,0,0,6796,129,0,5630,0,176,1736
BZN|GB,14.04.2018 17:00 - 14.04.2018 17:30 (CET),812,0,0,13052,702,0,0,0,0,315,364,0,0,6798,130,0,5010,0,147,1756
BZN|GB,14.04.2018 17:30 - 14.04.2018 18:00 (CET),1158,0,0,13782,484,0,0,0,0,472,400,0,0,6787,130,0,4240,0,165,1666
BZN|GB,14.04.2018 18:00 - 14.04.2018 18:30 (CET),1439,0,0,15049,484,0,0,0,0,318,508,0,0,6787,128,0,3450,0,174,1562
BZN|GB,14.04.2018 18:30 - 14.04.2018 19:00 (CET),1258,0,0,16103,485,0,0,0,0,329,508,0,0,6775,130,0,2620,0,224,1474
BZN|GB,14.04.2018 19:00 - 14.04.2018 19:30 (CET),1260,0,0,17559,489,0,0,0,0,475,509,0,0,6778,130,0,1810,0,296,1383
BZN|GB,14.04.2018 19:30 - 14.04.2018 20:00 (CET),1448,0,0,17467,486,0,0,0,0,759,517,0,0,6793,129,0,1100,0,410,1353
BZN|GB,14.04.2018 20:00 - 14.04.2018 20:30 (CET),1448,0,0,18060,484,0,0,0,0,301,514,0,0,6791,130,0,480,0,501,1312
